contract_address,prompt_tokens,completion_tokens,total_tokens,score,ground_truth,predicted,precision,recall,f1_score,overflow,access_control,dangerous_call,logic_error,replay_race
0x003f79D7Be15dC1aD90Ce00E6eA68F335e2B789B,8165,709,8874,0.2000,overflow,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,1.0,0.0,0.0,0.0,0.0
0x01982364172d4C429372F37ACE5d47FE4f71F862,8741,802,9543,0.2000,logic_error,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,0.0,1.0,0.0
0x01F2AcF2914860331C1Cb1a9AcecDa7475e06Af8,14078,935,15013,0.6000,dangerous_call:overflow:replay_race,access_control:dangerous_call:logic_error:overflow:replay_race,0.6000,1.0000,0.7500,1.0,0.0,1.0,0.0,1.0
0x01bbec6573ed7EcA0f307a10d2B4CEB669816B4a,17301,798,18099,0.2000,dangerous_call,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,1.0,0.0,0.0
0x004Dcfc79b28Ae0D52C2C013a328f84b433a1829,9299,893,10192,0.2000,overflow,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,1.0,0.0,0.0,0.0,0.0
0x025abAD9e518516fdaAFBDcdB9701b37fb7eF0FA,10688,860,11548,0.4000,overflow,access_control:dangerous_call:logic_error:overflow,0.2500,1.0000,0.4000,1.0,0.0,0.0,0.0,1.0
0x02c41cdE8a11fcf333277f2Bc543eb2B0925809c,19397,935,20332,0.2000,dangerous_call,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,1.0,0.0,0.0
0x00138bD67465733AE1BEDfD2105a6ffa83AF97D8,63598,840,64438,0.2000,dangerous_call,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,1.0,0.0,0.0
0x0298d4D15bC4294386b05E5185D3833fC76924B3,29910,942,30852,0.8000,dangerous_call,access_control:dangerous_call,0.5000,1.0000,0.6667,1.0,0.0,1.0,1.0,1.0
0x040a05E50007873f8D527B2e4E63C41Bf723665d,14449,440,14889,0.8000,dangerous_call,access_control:dangerous_call,0.5000,1.0000,0.6667,1.0,0.0,1.0,1.0,1.0
0x0156888F51d68F858AC88aBa45DF699e2af2E4Cc,45307,1175,46482,0.6000,access_control,access_control:logic_error:overflow,0.3333,1.0000,0.5000,0.0,1.0,1.0,0.0,1.0
0x0675DAa94725A528b05A3A88635C03EA964BFA7E,17995,625,18620,0.0000,overflow,access_control:dangerous_call:logic_error:replay_race,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0
0x090fC358FA1a992C083590c7dd33Ad5208A02e9d,12188,464,12652,0.2000,overflow,access_control:logic_error:replay_race,0.0000,0.0000,0.0000,0.0,0.0,1.0,0.0,0.0
0x093e5C256Ff8B32c7F1377f4C20e331674C77F00,8951,560,9511,0.4000,overflow,access_control:logic_error:overflow:replay_race,0.2500,1.0000,0.4000,1.0,0.0,1.0,0.0,0.0
0x0763EA00a235DaDdFf3Ed5B0F03ff414577E0173,24555,753,25308,0.2000,dangerous_call,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,1.0,0.0,0.0
0x086D6C602E769599143637cA1F2D71d0E8db59Ce,17199,748,17947,0.2000,dangerous_call,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,1.0,0.0,0.0
0x0B4cE72A70e87BEe66e0f43E9c861366e9D7DE19,10468,675,11143,0.2000,logic_error,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,0.0,1.0,0.0
0x047187e53477be70DBe8Ea5B799318f2e165052F,20825,1123,21948,0.2000,dangerous_call,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,1.0,0.0,0.0
0x066420fF2aF331b3F7c1a5925121e068c69614dF,31243,1048,32291,0.2000,logic_error,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,0.0,1.0,0.0
0x06308B924dC8Fe805BD28d3170B7c8b9909E4EBa,49860,1009,50869,0.2000,overflow,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,1.0,0.0,0.0,0.0,0.0
0x0D6f4cef46F23877A930C2d782cc275C978bC1eE,9764,628,10392,0.8000,overflow,logic_error:overflow,0.5000,1.0000,0.6667,1.0,1.0,1.0,0.0,1.0
0x0D44b2757F1b6C742Ff8707F6eb298A7DA1981af,14057,1120,15177,0.4000,dangerous_call,access_control:overflow,0.0000,0.0000,0.0000,0.0,0.0,0.0,1.0,1.0
0x0Ec4207AA379dFcd9239e987530b95a55178e5eB,17747,903,18650,0.2000,overflow,access_control:logic_error:replay_race,0.0000,0.0000,0.0000,0.0,0.0,1.0,0.0,0.0
0x10c0337c42843E0b8CE743d7D5fF39b711f3aD82,36017,722,36739,0.2000,overflow,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,1.0,0.0,0.0,0.0,0.0
0x117820a67905555D4203d6915807D39921636b8D,33113,779,33892,0.6000,overflow,access_control,0.0000,0.0000,0.0000,0.0,0.0,1.0,1.0,1.0
0x0BDBc0748bA09fBE9e9ED5938532E41446c2f033,57774,1186,58960,0.4000,overflow,access_control:logic_error,0.0000,0.0000,0.0000,0.0,0.0,1.0,0.0,1.0
0x113058C101b2D78e001D4a7D2174a66b5ff3A4A7,34948,899,35847,0.0000,overflow,access_control:dangerous_call:logic_error:replay_race,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0
0x0D324B2e732c35162b99BAFc63E35b16E6ec54cD,12332,1418,13750,0.0000,,,0.0000,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0
0x11D635bbba3f9B8f7C9b91cA9f315a2207cb5AD5,41139,582,41721,0.2000,dangerous_call,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,1.0,0.0,0.0
0x0DAf4CD0d8F3132Ca5eb256aBbE03d45DbbAf7C4,52738,1411,54149,0.2000,access_control,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,1.0,0.0,0.0,0.0
0x041B3eb05560Ba2670DEF3Cc5eeC2AeEF8e5D14b,13886,183,14069,0.2000,dangerous_call:replay_race,access_control:dangerous_call:logic_error:overflow,0.2500,0.5000,0.3333,0.0,0.0,1.0,0.0,0.0
0x11838ECe89439C4f0224Bc7b9f76E07721d99f9e,9150,645,9795,0.2000,overflow,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,1.0,0.0,0.0,0.0,0.0
0x123aB195DD38B1b40510d467a6a359b201af056f,9940,757,10697,0.4000,overflow,access_control:logic_error:overflow:replay_race,0.2500,1.0000,0.4000,1.0,0.0,1.0,0.0,0.0
0x12CCA3373658D7D9a6d92403065377723ceB7B9b,17247,600,17847,0.4000,logic_error,access_control:overflow,0.0000,0.0000,0.0000,0.0,0.0,1.0,0.0,1.0
0x130282173B796f75E0EB65eAF9F4d10835E1287a,8097,640,8737,0.2000,logic_error,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,0.0,1.0,0.0
0x129AcF3033AdF867E186141Ed182EAfD39596436,10534,843,11377,0.2000,logic_error,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,0.0,1.0,0.0
0x1400300399F6fC996a58846bC251E28282a97C2b,14565,649,15214,0.2000,dangerous_call,access_control:dangerous_call:logic_error:overflow:replay_race,0.2000,1.0000,0.3333,0.0,0.0,1.0,0.0,0.0
0x1443616b940AEA9fD52ADd2EbDc6966a4ac5F27d,9597,618,10215,0.6000,logic_error,access_control:logic_error:replay_race,0.3333,1.0000,0.5000,1.0,0.0,1.0,1.0,0.0
